Project name,MCD IDP (PROD),Value,,,
Date range,02/01/2025 12:00 AM - 02/25/2025 11:59 PM,,,,
,,,,,
,,,,,
Metric,Sessions,,,,
,Total sessions,1741,,,
,Bot sessions,72,,,
,,,,,
Metric,Pages per session,,,,
,Average,6.278575531,,,
,,,,,
Metric,Scroll depth,,,,
,Average,99.91,,,
,,,,,
Metric,Active time spent,,,,
,Active time,276,,,
,Total time,1102,,,
,,,,,
Metric,Users overview,,,,
,Unique users,243,,,
,Sessions with new users,216,,,
,Sessions with returning users,1525,,,
,,,,,
,,,,,
,,,,,
Metric,Top pages,No. of sessions,,,
,https://idp.digitalecp.mcd.com/dashboard,463,,,
,https://idp.digitalecp.mcd.com/catalog,251,,,
,https://idp.digitalecp.mcd.com/,187,,,
,https://idp.digitalecp.mcd.com/catalog?filters%5Bkind%5D=component&limit=20,176,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/dashboard,154,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/catalog?filters%5Bkind%5D=component&limit=20,136,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/perf-test/launchTest,129,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/catalog,127,,,
,https://idp.digitalecp.mcd.com/catalog?filters%5Bkind%5D=component&filters%5Buser%5D=owned&limit=20,121,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/catalog?filters%5Bkind%5D=component&filters%5Buser%5D=owned&limit=20,109,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/perf-test/runningTests,104,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/perf-test/testHistory,102,,,
,https://idp.digitalecp.mcd.com/perf-test,88,,,
,https://idp.digitalecp.mcd.com/catalog?filters%5Bkind%5D=component&filters%5Btype%5D=product%20workload&filters%5Buser%5D=all,84,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/perf-test,79,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/,68,,,
,https://idp.digitalecp.mcd.com/perf-test/testHistory,66,,,
,https://idp.digitalecp.mcd.com/catalog?filters%5Bkind%5D=component&filters%5Btype%5D=product%20workload&limit=20,64,,,
,https://idp.digitalecp.mcd.com/perf-test/runningTests,62,,,
,https://idp.digitalecp.mcd.com/perf-test/launchTest,59,,,
,https://backstage.namgmt03.us-east-1.tools.digitalecp.mcd.com/catalog/payments-workload/component/k8s-paymentms/CICD/argo-deployments,48,,,
,https://idp.digitalecp.mcd.com/critical-flows-dashboard,46,,,
,https://idp.digitalecp.mcd.com/dev-onboarding,46,,,
,https://idp.digitalecp.mcd.com/catalog/accounts-workload/component/k8s-domain-gateway/CICD/argo-deployments,45,,,
,,,,,
Metric,Countries,No. of sessions,% of sessions,,
,United States,1242,71.34%,,
,Brazil,201,11.55%,,
,Hungary,163,9.36%,,
,India,55,3.16%,,
,Mexico,46,2.64%,,
,Germany,26,1.49%,,
,Ukraine,7,0.40%,,
,United Kingdom,1,0.06%,,
,,,,,
,,,,,
,,,,,
Metric,URL performance,,,,
,URL,Score,LCP (Largest Contentful Paint),INP (Interaction to Next Paint),CLS (Cumulative Layout Shift)
,https://idp.digitalecp.mcd.com/catalog/core-workload/component/k8s-beaconeator/CICD/argo-deployments,95,0.952,104,0.027
,https://idp.digitalecp.mcd.com/catalog/gwa-package/component/main,95,0.769,112,0.007
,https://idp.digitalecp.mcd.com/catalog/accounts-package/component/auth/ci-cd,95,1.193,104,0.008
,https://idp.digitalecp.mcd.com/catalog/accounts-package/component/auth/ci-cd/argo-deployments,95,1.193,104,0.008
,https://idp.digitalecp.mcd.com/catalog/core-workload/component/k8s-beaconeator/CICD/deployments-info,95,0.952,104,0.015
,https://idp.digitalecp.mcd.com/catalog/default/component/gmap-ios/sonarqube,95,1.148,104,0.009
,https://idp.digitalecp.mcd.com/catalog/accounts-package/component/auth,95,1.193,104,0.008
,https://idp.digitalecp.mcd.com/catalog/core-workload/component/k8s-beaconeator/CICD/canary-status,95,0.952,104,0.015
,https://idp.digitalecp.mcd.com/catalog/default/component/gmap-ios/artifactory,95,1.148,104,0.009
,https://idp.digitalecp.mcd.com/catalog/delivery-workload/component/lambda-ubereats-event-producer,95,1.391,112,0.012
